date,home_team,away_team,home_goals,away_goals,outcome,match_type,tournament_name,neutral_venue,home_elo_before,away_elo_before
2018-03-27,Kosovo,Burkina Faso,2.0,0.0,H,Friendly,Friendly,True,1506.4,1509.6
2018-03-27,Kyrgyzstan,India,2.0,1.0,H,Tournament,AFC Asian Cup qualification,False,1530.0,1500.0
2018-03-27,Laos,Bangladesh,2.0,2.0,D,Friendly,Friendly,False,1491.807168002523,1500.0
2018-03-27,Lebanon,Malaysia,2.0,1.0,H,Tournament,AFC Asian Cup qualification,False,1500.0,1498.207168002523
2018-04-01,Malaysia,Bhutan,7.0,0.0,H,Friendly,Friendly,False,1486.7652215166838,1473.643149073933
2018-04-08,Barawa,Chagos Islands,4.0,1.0,H,Friendly,Friendly,False,1500.0,1490.1450035371747
2018-04-15,Barawa,Yorkshire,2.0,7.0,A,Friendly,Friendly,False,1507.7721714256354,1508.0621644653484
2018-04-18,Zimbabwe,Botswana,0.0,1.0,A,Friendly,Friendly,False,1501.7598071047469,1504.6071680025232
2018-04-18,Trinidad and Tobago,Panama,0.0,1.0,A,Friendly,Friendly,False,1509.8456906976933,1485.9540643122762
2018-04-26,Saint Kitts and Nevis,Jamaica,1.0,3.0,A,Friendly,Friendly,False,1495.538426814475,1498.4015259850273
2018-04-29,Ellan Vannin,Panjab,2.0,1.0,H,Friendly,Friendly,True,1501.792831997477,1500.0
2018-04-29,Saint Barthélemy,Saint Martin,3.0,2.0,H,Friendly,Friendly,False,1500.0,1500.0
2018-04-30,Antigua and Barbuda,Jamaica,0.0,2.0,A,Friendly,Friendly,False,1506.3235210415971,1510.6177046164285
2018-05-06,Barawa,Surrey,1.0,3.0,A,Friendly,Friendly,False,1491.3963550862868,1500.0
2018-05-08,Iraq,Palestine,0.0,0.0,D,Friendly,Friendly,False,1498.1756279272693,1490.576608421313
2018-05-09,Algeria,Saudi Arabia,0.0,2.0,A,Friendly,Friendly,True,1501.5855693723247,1490.961359818624
2018-05-11,Kuwait,Palestine,2.0,0.0,H,Friendly,Friendly,False,1483.1149343085808,1492.4976291326343
2018-05-12,Jersey,Guernsey,1.0,0.0,H,Tournament,Muratti Vase,False,1500.0,1530.7231199905384
2018-05-15,Saudi Arabia,Greece,2.0,0.0,H,Friendly,Friendly,True,1500.854826112222,1498.240192895253
2018-05-19,Iran,Uzbekistan,1.0,0.0,H,Friendly,Friendly,False,1510.360609882417,1493.2513546778816
2018-05-20,Jordan,Cyprus,3.0,0.0,H,Friendly,Friendly,False,1493.9058268179235,1498.207168002523
